"Public Price","Product/Barcode"
"12.09","35585214153"
"12.09","35585214160"
"12.09","35585214177"
"14.68","35585214184"
"14.68","35585214191"
"14.68","35585214207"
"17.87","35585228006"
"11.96","35585244150"
"16.77","35585244167"
"9.01","35585244242"
"14.540000000000001","35585273006"
"15.040000000000001","35585273013"
"11.6","35585273051"
"11.84","35585273068"
"7.65","35585273105"
"5.44","35585279022"
"4.44","35585279077"
"8.38","35585328034"
"15.280000000000001","35585334073"
"5.3","35585334226"
"5.3","35585334240"
"20.46","35585334264"
"4.82","35585334301"
"5.3","35585351032"
"5.18","35585351049"
"9.75","35585373003"
"7.65","35585373041"
"16.03","3661103000013"
"16.03","3661103003298"
"19.72","3661103003427"
"18.48","3661103003434"
"17.26","3661103003441"
"19.72","3661103003458"
"18.48","3661103003465"
"17.26","3661103003472"
"22.19","3661103006312"
"22.19","3661103006336"
"22.19","3661103006350"
"24.51","3661103006367"
"27.330000000000002","3661103006374"
"22.19","3661103006398"
"23.41","3661103006404"
"24.64","3661103006411"
"29.57","3661103006428"
"28.23","3661103045724"
"29.35","3661103045731"
"33.38","3661103045748"
"37.64","3661103045755"
"42.5","3661103045762"
"4.7","4000498022405"
"4.5","4000498022412"
"4.5","4000498022429"
"5.2","4000498022504"
"5.5","4000498022511"
"5.2","4000498022528"
"6.5","4000498022603"
"6.2","4000498022610"
"6.0","4000498022627"
"8.2","4000498022726"
"8.5","4000498022825"
"4.5","4000498023402"
"4.5","4000498023419"
"4.5","4000498023426"
"3.1","4002064605135"
"3.1","4002064605159"
"3.1","4002064605173"
"3.45","4002064605180"
"3.1","4002973000021"
"6.9","4002973000465"
"4.93","4002973000700"
"5.55","4002973000717"
"6.92","4002973000731"
"5.55","4002973000823"
"9.6","4002973000847"
"2.95","4002973000861"
"16.64","4002973182789"
"11.55","4002973189351"
"5.55","4002973191163"
"4.57","4002973201169"
"4.82","4002973202135"
"6.95","4002973202142"
"5.55","4002973203125"
"10.97","4002973208861"
"23.1","4002973213094"
"12.34","4002973217429"
"1.85","4002973218518"
"7.73","4002973233535"
"8.14","4002973233566"
"8.02","4002973234044"
"9.01","4002973234174"
"5.93","4002973238257"
"3.95","4002973240359"
"4.57","4002973240922"
"15.65","4002973243862"
"15.42","4002973246870"
"4.82","4002973256466"
"11.71","4002973257135"
"3.1","4002973264867"
"29.57","4007221017400"
"35.730000000000004","4007221037378"
"0.0","40102640711"
"2.35","4011905021867"
"2.35","4011905021874"
"2.35","4011905021881"
"2.35","4011905021898"
"3.2800000000000002","4011905021911"
"3.66","4011905021928"
"3.95","4011905021935"
"4.44","4011905021942"
"1.61","4011905022260"
"1.99","4011905022277"
"2.35","4011905022307"
"2.35","4011905022314"
"2.35","4011905022321"
"2.35","4011905022338"
"3.59","4011905022369"
"4.33","4011905022376"
"4.69","4011905022383"
"5.3","4011905022390"
"3.95","4011905022406"
"4.33","4011905022413"
"4.69","4011905022420"
"5.93","4011905022437"
"5.93","4011905022444"
"6.67","4011905022451"
"6.67","4011905022468"
"6.67","4011905022475"
"7.2700000000000005","4011905022666"
"7.890000000000001","4011905022673"
"8.63","4011905022680"
"5.38","4011905023281"
"5.26","4011905023861"
"7.73","4011905025797"
"76.14","4011905028811"
"2.5","4011905029009"
"3.7","4011905029016"
"2.5","4011905029030"
"1.9000000000000001","4011905029047"
"2.5","4011905029184"
"3.7","4011905029214"
"3.2","4011905029306"
"6.18","4011905029528"
"4.19","4011905033273"
"29.71","4011905038773"
"49.28","4011905038780"
"73.94","4011905038797"
"103.25","4011905039466"
"2.72","4011905040066"
"6.04","4011905040219"
"1.49","4011905041452"
"1.99","4011905041469"
"1.11","4011905041544"
